"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","193","logOutTest","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","logOutTest"
"","200","cloneTestPlan","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","cloneTestPlan"
"","191","changeRowsCountPerPage","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","changeRowsCountPerPage"
"","191","goToTheLogInPage","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","goToTheLogInPage"
"","0","loginWithPositiveCred","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithPositiveCred"
"","0","createSuite","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createSuite"
"","0","deleteSuite","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","deleteSuite"
"","0","createTestPlan","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","createTestPlan"
"","0","resetPasswordWithEmptyEmail","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","resetPasswordWithEmptyEmail"
"","0","resetPasswordWithInvalidEmailValue","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","resetPasswordWithInvalidEmailValue"
"","1","loginWithNegativeCred","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","192","cancelCreateProject","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","cancelCreateProject"
"","233","changeValidProfilePicture","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ChangeProfileSettingsTest","Surefire test","tests.ui.ChangeProfileSettingsTest","changeValidProfilePicture"
"","0","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","tearDown"
"","0","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ChangeProfileSettingsTest","Surefire test","tests.ui.ChangeProfileSettingsTest","tearDown"
"","0","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","tearDown"
"","1","deleteTestPlan","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","deleteTestPlan"
"","0","loginWithNegativeCred","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","0","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","tearDown"
"","209","checkCreateProject","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","192","sortAZProjects","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","sortAZProjects"
"","196","cancelCreateSuite","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","cancelCreateSuite"
"","0","createTestCase","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","createTestCase"
"","193","createQuickTestCase","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","createQuickTestCase"
"","350","checkGetSingleTestCase","Surefire suite","2026-07-12","passed","2026-07-12","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkGetSingleTestCase"
"","0","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","tearDown"
"","193","cancelCreateProject","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","cancelCreateProject"
"","0","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","tearDown"
"","1","restoreTestCase","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","restoreTestCase"
"","0","deleteAllTestCases","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","deleteAllTestCases"
"","0","sortZAProjects","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","sortZAProjects"
"","0","loginWithEmptyCred","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithEmptyCred"
"","0","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","tearDown"
"","0","resetPasswordWithValidEmail","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","resetPasswordWithValidEmail"
"","8122","cancelCreateProject","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","cancelCreateProject"
"","0","loginWithNegativeCred","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","1","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","tearDown"
"","380","checkUpdateCase","Surefire suite","2026-07-12","passed","2026-07-12","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkUpdateCase"
"","4049","checkCreateProject","Surefire suite","2026-07-12","passed","2026-07-12","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","checkCreateProject"
"","391","checkCreateCase","Surefire suite","2026-07-12","passed","2026-07-12","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkCreateCase"
