"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","resetPasswordWithEmptyEmail","Surefire suite","2026-06-25","skipped","2026-06-25","ForgotPasswordTest","Surefire test","ForgotPasswordTest","resetPasswordWithEmptyEmail"
"","182","sortAZProjects","Surefire suite","2026-06-25","broken","2026-06-25","ProjectSortingTest","Surefire test","ProjectSortingTest","sortAZProjects"
"","0","tearDown","Surefire suite","2026-06-25","broken","2026-06-25","ProjectSortingTest","Surefire test","ProjectSortingTest","tearDown"
"","0","loginWithNegativeCred","Surefire suite","2026-06-25","skipped","2026-06-25","LoginTest","Surefire test","LoginTest","loginWithNegativeCred"
"","0","tearDown","Surefire suite","2026-06-25","broken","2026-06-25","ForgotPasswordTest","Surefire test","ForgotPasswordTest","tearDown"
"","183","changeValidProfilePicture","Surefire suite","2026-06-25","broken","2026-06-25","ChangeProfileSettingsTest","Surefire test","ChangeProfileSettingsTest","changeValidProfilePicture"
"","358","goToTheLogInPage","Surefire suite","2026-06-25","broken","2026-06-25","ForgotPasswordTest","Surefire test","ForgotPasswordTest","goToTheLogInPage"
"","27378","checkCreateProject","Surefire suite","2026-06-25","broken","2026-06-25","ProjectTest","Surefire test","ProjectTest","checkCreateProject"
"","1","tearDown","Surefire suite","2026-06-25","broken","2026-06-25","ProjectTest","Surefire test","ProjectTest","tearDown"
"","0","tearDown","Surefire suite","2026-06-25","broken","2026-06-25","ChangeProfileSettingsTest","Surefire test","ChangeProfileSettingsTest","tearDown"
"","1","loginWithEmptyCred","Surefire suite","2026-06-25","skipped","2026-06-25","LoginTest","Surefire test","LoginTest","loginWithEmptyCred"
"","1","tearDown","Surefire suite","2026-06-25","broken","2026-06-25","LoginTest","Surefire test","LoginTest","tearDown"
"","0","sortZAProjects","Surefire suite","2026-06-25","skipped","2026-06-25","ProjectSortingTest","Surefire test","ProjectSortingTest","sortZAProjects"
"","1","loginWithNegativeCred","Surefire suite","2026-06-25","skipped","2026-06-25","LoginTest","Surefire test","LoginTest","loginWithNegativeCred"
"","0","resetPasswordWithInvalidEmailValue","Surefire suite","2026-06-25","skipped","2026-06-25","ForgotPasswordTest","Surefire test","ForgotPasswordTest","resetPasswordWithInvalidEmailValue"
"","0","resetPasswordWithValidEmail","Surefire suite","2026-06-25","skipped","2026-06-25","ForgotPasswordTest","Surefire test","ForgotPasswordTest","resetPasswordWithValidEmail"
"","0","loginWithNegativeCred","Surefire suite","2026-06-25","skipped","2026-06-25","LoginTest","Surefire test","LoginTest","loginWithNegativeCred"
"","1","loginWithPositiveCred","Surefire suite","2026-06-25","skipped","2026-06-25","LoginTest","Surefire test","LoginTest","loginWithPositiveCred"
"","180","changeRowsCountPerPage","Surefire suite","2026-06-25","broken","2026-06-25","ProjectSortingTest","Surefire test","ProjectSortingTest","changeRowsCountPerPage"
"","193","logOutTest","Surefire suite","2026-06-25","broken","2026-06-25","LoginTest","Surefire test","LoginTest","logOutTest"
