"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","checkGetSingleTestCase","Surefire suite","2026-07-18","skipped","2026-07-18","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkGetSingleTestCase"
"","461","goToTheLogInPage","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","goToTheLogInPage"
"","8026","createTestCase","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","createTestCase"
"","4746","logOutTest","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","logOutTest"
"","8781","deleteAllTestCases","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","deleteAllTestCases"
"","1872","loginWithEmptyCred","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithEmptyCred"
"","3853","deleteSuite","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","deleteSuite"
"","1477","checkCreateProject","Surefire suite","2026-07-18","broken","2026-07-18","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","checkCreateProject"
"","1325","cancelCreateProject","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","cancelCreateProject"
"","5397","restoreTestCase","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","restoreTestCase"
"","2359","checkCreateProject","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","4828","cancelCreateProject","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","cancelCreateProject"
