"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","195","changeValidProfilePicture","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ChangeProfileSettingsTest","Surefire test","tests.ui.ChangeProfileSettingsTest","changeValidProfilePicture"
"","0","sortZAProjects","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","sortZAProjects"
"","327","checkGetSingleTestCase","Surefire suite","2026-07-12","passed","2026-07-12","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkGetSingleTestCase"
"","0","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","tearDown"
"","201","logOutTest","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","logOutTest"
"","202","changeRowsCountPerPage","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","changeRowsCountPerPage"
"","0","createTestPlan","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","createTestPlan"
"","0","resetPasswordWithValidEmail","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","resetPasswordWithValidEmail"
"","200","cancelCreateSuite","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","cancelCreateSuite"
"","430","checkCreateCase","Surefire suite","2026-07-12","passed","2026-07-12","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkCreateCase"
"","0","deleteTestPlan","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","deleteTestPlan"
"","0","loginWithPositiveCred","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithPositiveCred"
"","0","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ChangeProfileSettingsTest","Surefire test","tests.ui.ChangeProfileSettingsTest","tearDown"
"","200","sortAZProjects","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","sortAZProjects"
"","1","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","tearDown"
"","202","cancelCreateProject","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","cancelCreateProject"
"","0","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","tearDown"
"","0","deleteAllTestCases","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","deleteAllTestCases"
"","0","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","tearDown"
"","0","restoreTestCase","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","restoreTestCase"
"","0","loginWithNegativeCred","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","0","tearDown","Surefire suite","2026-07-12","broken","2026-07-12","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","tearDown"
"","0","loginWithEmptyCred","Surefire suite","2026-07-12","skipped","2026-07-12","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithEmptyCred"
