"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5362","loginWithNegativeCred","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","2","checkUpdateCase","Surefire suite","2026-07-18","skipped","2026-07-18","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkUpdateCase"
"","4624","cancelCreateProject","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","cancelCreateProject"
"","2663","loginWithNegativeCred","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","2","checkCreateCase","Surefire suite","2026-07-18","skipped","2026-07-18","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkCreateCase"
"","7693","createTestCase","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","createTestCase"
"","3685","sortAZProjects","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","sortAZProjects"
"","3480","sortZAProjects","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","sortZAProjects"
"","19514","cloneTestPlan","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","cloneTestPlan"
"","0","deleteCase","Surefire suite","2026-07-18","broken","2026-07-18","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","deleteCase"
"","8043","deleteAllTestCases","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","deleteAllTestCases"
"","3238","createSuite","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createSuite"
"","2167","checkCreateProject","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","1186","resetPasswordWithEmptyEmail","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","resetPasswordWithEmptyEmail"
"","1276","changeRowsCountPerPage","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","changeRowsCountPerPage"
"","1","setUp","Surefire suite","2026-07-18","broken","2026-07-18","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","setUp"
"","5212","createQuickTestCase","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","createQuickTestCase"
