"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2645","checkCreateProject","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","5512","cancelCreateProject","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","cancelCreateProject"
"","1813","changeRowsCountPerPage","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","changeRowsCountPerPage"
"","2","checkCreateCase","Surefire suite","2026-07-18","skipped","2026-07-18","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkCreateCase"
"","2246","loginWithEmptyCred","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithEmptyCred"
"","7347","deleteTestPlan","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","deleteTestPlan"
"","6238","restoreTestCase","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","restoreTestCase"
"","1465","cancelCreateProject","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","cancelCreateProject"
"","6140","loginWithNegativeCred","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","2","checkUpdateCase","Surefire suite","2026-07-18","skipped","2026-07-18","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkUpdateCase"
"","0","setUp","Surefire suite","2026-07-18","broken","2026-07-18","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","setUp"
"","24735","cloneTestPlan","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","cloneTestPlan"
"","2711","resetPasswordWithValidEmail","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","resetPasswordWithValidEmail"
"","8880","createTestCase","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","createTestCase"
"","2343","resetPasswordWithInvalidEmailValue","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","resetPasswordWithInvalidEmailValue"
"","3545","cancelCreateSuite","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","cancelCreateSuite"
"","3156","loginWithNegativeCred","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","2926","changeValidProfilePicture","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.ChangeProfileSettingsTest","Surefire test","tests.ui.ChangeProfileSettingsTest","changeValidProfilePicture"
"","2810","loginWithNegativeCred","Surefire suite","2026-07-18","passed","2026-07-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","1","deleteCase","Surefire suite","2026-07-18","broken","2026-07-18","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","deleteCase"
