"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1661","resetPasswordWithInvalidEmailValue","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","resetPasswordWithInvalidEmailValue"
"","4664","logOutTest","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","logOutTest"
"","1214","resetPasswordWithEmptyEmail","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","resetPasswordWithEmptyEmail"
"","1316","goToTheLogInPage","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","goToTheLogInPage"
"","4959","cancelCreateProject","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","cancelCreateProject"
"","250","checkUpdateCase","Surefire suite","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkUpdateCase"
"","2712","loginWithNegativeCred","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","8784","sortAZProjects","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","sortAZProjects"
"","1751","loginWithEmptyCred","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithEmptyCred"
"","2682","loginWithNegativeCred","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","0","tearDown","Surefire suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","tearDown"
"","5025","cancelCreateProject","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","cancelCreateProject"
"","12729","deleteTestPlan","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","deleteTestPlan"
"","1","deleteSuite","Surefire suite","2026-07-20","skipped","2026-07-20","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","deleteSuite"
"","1","tearDown","Surefire suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","tearDown"
"","8992","sortZAProjects","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","sortZAProjects"
"","297","checkCreateCase","Surefire suite","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkCreateCase"
