"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4623","cancelCreateProject","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","cancelCreateProject"
"","20288","cloneTestPlan","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","cloneTestPlan"
"","210","checkGetSingleTestCase","Surefire suite","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkGetSingleTestCase"
"","12233","changeRowsCountPerPage","Surefire suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","changeRowsCountPerPage"
"","0","tearDown","Surefire suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","tearDown"
"","8462","sortZAProjects","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","sortZAProjects"
"","4312","loginWithPositiveCred","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithPositiveCred"
"","2591","loginWithNegativeCred","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","1308","goToTheLogInPage","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","goToTheLogInPage"
"","12905","deleteTestPlan","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","deleteTestPlan"
"","1","deleteSuite","Surefire suite","2026-07-20","skipped","2026-07-20","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","deleteSuite"
"","1826","resetPasswordWithValidEmail","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","resetPasswordWithValidEmail"
"","1169","resetPasswordWithEmptyEmail","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","resetPasswordWithEmptyEmail"
"","7410","checkCreateProject","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","0","createSuite","Surefire suite","2026-07-20","skipped","2026-07-20","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createSuite"
"","0","createTestCase","Surefire suite","2026-07-20","skipped","2026-07-20","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","createTestCase"
"","2584","loginWithNegativeCred","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","215","checkUpdateCase","Surefire suite","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","checkUpdateCase"
"","2591","loginWithNegativeCred","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginWithNegativeCred"
"","8434","sortAZProjects","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectSortingTest","Surefire test","tests.ui.ProjectSortingTest","sortAZProjects"
"","4616","logOutTest","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","logOutTest"
"","11119","createTestPlan","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.TestPlanTest","Surefire test","tests.ui.TestPlanTest","createTestPlan"
"","1611","resetPasswordWithInvalidEmailValue","Surefire suite","2026-07-20","passed","2026-07-20","tests.ui.ForgotPasswordTest","Surefire test","tests.ui.ForgotPasswordTest","resetPasswordWithInvalidEmailValue"
"","12380","createQuickTestCase","Surefire suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","Surefire test","tests.ui.TestCaseTest","createQuickTestCase"
